# Account Settings TestData
AccountSettings,title="AGORAFY";heading="Account Settings";status="active";pageUrl="/account/"

# Personal Information TestData
PersonalInfo,name="Chandrani Bhagat";successMessage="Your personal details has been changed.";failureMessage="* This field is required";headerProfileName="Hello,\nChandrani!"

# Address Fields TestData
AddressData,address="415 State Street";city="Brooklyn";state="New York";zipcode="11217"
WrongAddressData,invalidAddress="West@#$%&";errorMsg1="* You must fill out all address fields";errorMsg2="* No special characters allowed"
WrongCityData,invalidCity="NewYork23";errorMsg1="* You must fill out all address fields";errorMsg2="* Letters only"
WrongStateData,errorMsg="* You must fill out all address fields"
WrongZipCodeData,invalidZip="abc#1";errorMsg1="* You must fill out all address fields";errorMsg2="* Invalid Zipcode"

# Change Password Negative Scenario 
validCredential,username=test.agorafy@gmail.com;password=agorafy1234
verifyIfAllFieldsAreEmpty,errorMsg1="* This field is required\n* Invalid Password";errorMsg2="* This field is required\n* Minimum 8 characters required\n* Invalid Password";errorMsg3="* This field is required"
oldPasswordLeftBlank,invalidNewPassword="12345678a";invalidRetypeNewPassword="12345678a";errorMsg="* This field is required\n* Invalid Password"
newPasswordLeftBlank,invalidOldPassword="anjan991";invalidRetypeNewPassword="anjan995@";errorMsg1="* This field is required\n* Minimum 8 characters required\n* Invalid Password";errorMsg2="* Fields do not match"
retypeNewPasswordLeftBlank,invalidOldPassword="anjan9195";invalidNewPassword="anj101195@";errorMsg="* This field is required\n* Fields do not match"
WrongOldPasswordEntered,invalidOldPassword="anjan991";errorMsg1="* This field is required\n* Minimum 8 characters required\n* Invalid Password";errorMsg2="* This field is required"
NewAndRetypeNewPasswordIsLessThenEightChar,validOldPassword="agorafy1234";invalidNewPassword="anjan1";invalidRetypeNewPassword="anjan1";errorMsg1="* This field is required\n* Fields do not match";errorMsg2="* Minimum 8 characters required"
NewpasswordAndRetypeNewpasswordAreNotSame,validOldPassword="agorafy1234";invalidNewPassword="anjan1";invalidRetypeNewPassword="anjan2";errorMsg1="* Minimum 8 characters required";errorMsg2="* Fields do not match";errorMsg3="* Fields do not match"

# Change Password Positive Scenario
ChangePassword,ValidOldPassword="agorafy1234";ValidNewPassword="cuelogic";ValidRetypeNewPassword="cuelogic";
ChangePasswordAgain,ValidOldPassword="cuelogic";ValidNewPassword="agorafy1234";ValidRetypeNewPassword="agorafy1234";
SuccessMessage,validMsg="Your password has been changed.";
