
#Location page data

LocationCombination2,zipcode="55555"
LocationCombination3,state="NewYork"
LocationCombination4,state="NewYork";zipcode="55555"
LocationCombination5,city="Manhatten"
LocationCombination6,city="Manhatten";zipcode="55555"
LocationCombination7,city="Manhatten";state="NewYork"
LocationCombination8,city="Manhatten";state="NewYork";zipcode="55555"
LocationCombination9,address="Wellington street"
LocationCombination10,address="Wellington street";zipcode="55555"
LocationCombination11,address="Wellington street";state="NewYork"
LocationCombination12,address="Wellington street";state="NewYork";zipcode="55555"
LocationCombination13,address="Wellington street";city="Manhatten"
LocationCombination14,address="Wellington street";city="Manhatten";zipcode="55555"
LocationCombination15,address="Wellington street";city="Manhatten";state="NewYork"
LocationCombination16,address="Wellington street";city="Manhatten";state="NewYork";zipcode="55555"


#Details-Retail page data

ListingTypes,ListingType1="Retail";ListingType2="Office";ListingType3="Residential";ListingType4="Property"
ListingOffersForRetail,ListingOffer1="Lease";ListingOffer2="Sublease"
SpaceSize,SpaceSize1="1000"
AskingPrice,AskingPrice1="10000"
AskingPriceUnit,AskingPriceUnit1="per month";AskingPriceUnit2="per sqft";AskingPriceUnit3="total"
CompulsoryRetailFormData,AskingPrice="10000";AddSpace="Yes";SpaceSize1="1000";CeilingHeight="55"
TotalRetailFormData,ListingOffer="Lease";AddSpace="Yes";AskingPrice="10000";SpaceSize1="1000";AskingPriceUnit="total";Frontage="500";CeilingHeight="55";FoodAllowed="Yes";CookingAllowed="Yes";Description="This is details-Retail page"
NegativeRetailFormDataWithAddSpaceOnly,AddSpace="Yes";SpaceSize1="1000"
NegativeRetailFormDataWithAskingPriceOnly,AskingPrice="10000"
NegativeRetailFormDataWithoutCompulsoryfields,ListingOffer="Lease";AskingPriceUnit="total";Frontage="500";CeilingHeight="55";FoodAllowed="Yes";CookingAllowed="Yes";Description="This is details-Retail page"
RetailFormDataCrossCheck,AskingPrice="10000";Frontage="500";CeilingHeight="55";Description="This is details-Retail page"



#Details-Office page data

AddSpacePositiveCombination1,SpaceType="Full floor";SpaceName="Yes";SpaceSize="1000"
AddSpacePositiveCombination2,SpaceType="Partial Floor";SpaceName="Yes";SpaceSize="1000"
AddSpacePositiveCombination3,SpaceType="Unit";SpaceName="Yes";SpaceSize="1000"
AddSpaceNegativeCombination2,SpaceSize="1000"
AddSpaceNegativeCombination3,SpaceType="Unit";SpaceSize="1000"
AddSpaceNegativeCombination4,SpaceType="Unit";SpaceName="Yes"
